subject_id,task,n_words,reading_duration_sec,reading_speed_wpm
1858,T5,97,394.361604,14.75802902962125
1693,T1,89,92.999793,57.41948264336459
1377,T1,89,63.590439,83.97488811171753
1134,T5,97,314.271918,18.518994751545062
1349,T4,88,86.8523,60.79286328629179
1033,T1,89,67.422121,79.20249201297004
1582,T5,97,269.751647,21.575401168912975
1417,T4,88,70.525961,74.86604826270997
1145,T4,88,49.075683,107.5889254562183
1073,T5,97,114.177755,50.97315146895295
1859,T4,88,271.487976,19.44837512803882
1318,T4,88,93.503735,56.46833252169017
1009,T4,88,115.073778,45.883606949969085
1187,T5,97,140.191648,41.51459864427873
1263,T1,89,69.581876,76.74412227689866
1009,T1,89,107.634425,49.61238005405799
1380,T1,89,87.128024,61.289120937713456
1314,T5,97,123.365223,47.17699087691837
1134,T4,88,98.151175,53.79456741093523
1254,T5,97,143.075555,40.67780830904343
1038,T4,88,270.552083,19.51565089225353
1913,T4,88,139.035677,37.9758642812233
1065,T4,88,96.999342,54.4333589396926
1113,T1,89,105.938634,50.40654007300113
1189,T1,89,77.581055,68.83123721377596
1582,T4,88,128.672472,41.034417991130226
1235,T1,89,69.481702,76.85476674132134
1033,T4,88,61.742537,85.51640824218157
1109,T4,88,56.095054,94.12594557801835
1996,T4,88,138.411642,38.14708014229035
1255,T5,97,138.183706,42.117845645274556
1380,T5,97,166.512792,34.95226961301568
1113,T5,97,247.142373,23.54917907986584
1693,T5,97,245.749972,23.682606970958272
1349,T1,89,88.808186,60.12959210764647
1187,T1,89,64.590332,82.67491178091481
1263,T5,97,109.642225,53.08173926605375
1398,T5,97,148.190901,39.27366633663966
1073,T1,89,64.786184,82.42498122747898
1009,T5,97,161.849768,35.95927304634752
1033,T5,97,131.252029,44.342171655113994
1314,T4,88,61.22669,86.2369009332368
1254,T1,89,83.452587,63.988429741548934
1476,T4,88,233.883005,22.575389776610745
1115,T4,88,72.465913,72.86184333315444
1257,T5,97,140.939543,41.294301628323005
1421,T4,88,135.028045,39.10298782745466
1869,T1,89,90.768068,58.83126211301534
1417,T5,97,145.387123,40.03105557016903
1459,T1,89,165.573108,32.25161419329038
1284,T1,89,69.041925,77.34430927295263
1065,T1,89,95.279415,56.04568415958474
1075,T4,88,69.741773,75.70785445904852
1274,T1,89,76.677298,69.64251661554376
1903,T5,97,514.066938,11.321482806583449
1090,T4,88,85.151919,62.00682335767442
1169,T5,97,105.978553,54.91677169813782
1398,T4,88,67.634004,78.06723966837745
1186,T1,89,76.945079,69.4001496833865
1744,T5,97,202.761858,28.703623341230184
1993,T5,97,215.765261,26.97375830115674
1996,T1,89,85.820194,62.2231173236453
1019,T4,88,84.328554,62.612244009306735
1235,T5,97,127.312352,45.71433885692411
1160,T4,88,64.37432,82.02028386474606
1729,T4,88,403.608272,13.081991540549991
1038,T1,89,176.33625,30.283052974076515
1591,T4,88,108.338357,48.736201528328515
1166,T4,88,227.45575,23.213306324416948
1263,T4,88,57.151019,92.38680416179456
1003,T4,88,61.318609,86.10762843625497
1345,T4,88,47.935716,110.1475150595435
1003,T1,89,72.977586,73.17315209631626
1322,T5,97,142.271536,40.907690769571786
1626,T1,89,94.85185,56.29832206751898
1350,T1,89,127.44857,41.89925395004432
1913,T1,89,122.457074,43.607117380576966
